ticker,earnings_date,event_expiry,spot_price,predicted_direction,conviction,DirScore,structure,risk_reversal,spread_pct,total_notional_volume,call_volume_notional,put_volume_notional,D1,D2,D3,D4,D5,P1,P2
UBFO,2025-10-15,2025-10-17,8.71,PUT,1.0989525212894753,-1.0989525212894753,strong put naked,-2.73774501092929,0.0,0.0,1e-09,0,-3.4819175423297772,-0.07573277405952249,0.20259038329288767,0.0,0.5,0.5,0.0
BAC,2025-10-15,2025-10-17,48.86,CALL,0.7798878385848325,0.7798878385848325,strong call naked,0.019073252194276136,0.0,4000328.0,2648770.0,1351558.0,0.20897510779201503,2.4236356620537096,0.19109899286860443,0.0,0.5,0.5,0.0
WNS,2025-10-15,2025-10-17,76.29,PUT,0.7625167495444922,-0.7625167495444922,strong put naked,-1.9633269948827508,0.0,9115.0,8945.0,170.0,-2.4451086232284034,-0.0588257781121437,0.20216237644442858,0.0,0.5,0.5,0.0
OSBC,2025-10-15,2025-10-17,17.24,PUT,0.6601528676045901,-0.6601528676045901,medium put naked,0.7498470515273039,0.0,2610.0,10.0,2600.0,1.187352130658885,-0.08072298710838094,-5.652795072361593,0.0,0.5,0.5,0.0
MMLP,2025-10-15,2025-10-17,3.095,CALL,0.634255965512527,0.634255965512527,medium call naked,1.3078047916188575,0.0,0.0,1e-09,0,1.93435897892648,-0.07573277405952249,0.20259038329288767,0.0,0.5,0.5,0.0
FNLC,2025-10-15,2025-10-17,24.57,PUT,0.6265306767595462,-0.6265306767595462,medium put naked,-1.6351726060048786,0.0,100.0,100.0,0,-2.005767866452425,-0.07554010174103573,0.20259038329288767,0.0,0.5,0.5,0.0
MS,2025-10-15,2025-10-17,155.13,CALL,0.4161314647211911,0.4161314647211911,medium call naked,0.10625700164107943,0.0,2332989.0,1443745.0,889244.0,0.32569874690439965,0.9926371586833309,0.18871922933583632,0.0,0.5,0.5,0.0
JMSB,2025-10-15,2025-10-17,19.06,CALL,0.38083011508471787,0.38083011508471787,weak call naked,0.7153921307767751,0.0,700.0,700.0,0,1.1412230783888349,-0.07438406783010373,0.20259038329288767,0.0,0.5,0.5,0.0
WAFD,2025-10-15,2025-10-17,28.98,PUT,0.3681487351873577,-0.3681487351873577,weak put naked,-0.9991851451994728,0.0,465.0,105.0,360.0,-1.1542930064459997,-0.07622408847167052,0.12537650915238902,0.0,0.5,0.5,0.0
SLG,2025-10-15,2025-10-17,55.47,PUT,0.22571949314724443,-0.22571949314724443,weak put naked,-0.6814659536724375,0.0,19768.0,8117.0,11651.000000000002,-0.7289231354987934,-0.08254181379491399,0.17026454486080764,0.0,0.5,0.5,0.0
ABT,2025-10-15,2025-10-17,131.38,PUT,0.18702089331505578,-0.18702089331505578,weak put naked,-0.08653670370200661,0.0,755314.0,181973.0,573341.0,0.06758203331505401,-0.8297905734822589,0.13163453666199704,0.0,0.5,0.5,0.0
JBHT,2025-10-15,2025-10-17,138.12,CALL,0.16196554640803473,0.16196554640803473,weak call naked,0.20008551695908294,0.0,24810.0,16435.0,8375.0,0.4513185536908933,-0.060203385189337676,0.19111420599979687,0.0,0.5,0.5,0.0
REXR,2025-10-15,2025-10-17,40.54,CALL,0.1593524624009231,0.1593524624009231,weak call naked,0.20156008849156837,0.0,380.0,300.0,80.0,0.45329274448327533,-0.07530889495884935,0.19658485974862663,0.0,0.5,0.5,0.0
PKBK,2025-10-15,2025-10-17,20.43,PUT,0.15575743976264395,-0.15575743976264395,weak put naked,-0.5361964350416866,0.0,0.0,1e-09,0,-0.5344329125584295,-0.07573277405952249,0.20259038329288767,0.0,0.5,0.5,0.0
EPAC,2025-10-15,2025-10-17,39.53,CALL,0.15062977697648938,0.15062977697648938,weak call naked,0.18322824143513028,0.0,412.0,280.0,132.0,0.42874963967697516,-0.07544761902816118,0.19197347559856912,0.0,0.5,0.5,0.0
UAL,2025-10-15,2025-10-17,99.25,CALL,0.1485090837595135,0.1485090837595135,weak call naked,0.18025882805964688,0.0,2952226.0,1477380.0,1474846.0,0.4247741197272752,-0.0708504575090219,0.18010829749617532,0.0,0.5,0.5,0.0
FR,2025-10-15,2025-10-17,51.48,CALL,0.14112297461826834,0.14112297461826834,weak call naked,0.1558319380474974,0.0,740.0,740.0,0,0.3920708291197089,-0.07430699890270827,0.20259038329288767,0.0,0.5,0.5,0.0
PNC,2025-10-15,2025-10-17,186.92,CALL,0.13879823662414814,0.13879823662414814,weak call naked,0.004630587526997965,0.0,380902.0,250656.0,130246.0,0.18963893116344288,0.15626396463268205,0.1908881586371969,0.0,0.5,0.5,0.0
HOMB,2025-10-15,2025-10-17,27.15,CALL,0.13014710967031767,0.13014710967031767,weak call naked,0.12917081070570025,0.0,1652.9999999999998,1639.9999999999998,13.0,0.3563762894157003,-0.07259799543771377,0.2024118654436299,0.0,0.5,0.5,0.0
PLD,2025-10-15,2025-10-17,112.72,CALL,0.1273439490924691,0.1273439490924691,weak call naked,0.05680920027923925,0.0,99833.0,77893.0,21939.999999999996,0.2594968760548093,0.03207316830444063,0.19624700905381515,0.0,0.5,0.5,0.0
FHN,2025-10-15,2025-10-17,22.45,CALL,0.12526437536693918,0.12526437536693918,weak call naked,0.09012187264134042,0.0,106099.0,67005.0,39094.0,0.30409665951601006,-0.021956003246151976,0.1894506957263251,0.0,0.5,0.5,0.0
SNV,2025-10-15,2025-10-17,46.18,CALL,0.11285442654538548,0.11285442654538548,weak call naked,0.10788378200829374,0.0,3789.0,1414.0,2375.0,0.32787671843811644,-0.07758435504020053,0.1647638669802465,0.0,0.5,0.5,0.0
CTBI,2025-10-15,2025-10-17,54.35,CALL,0.10870059536051958,0.10870059536051958,weak call naked,0.08074498683164455,0.0,1637.0,1447.0,190.0,0.2915426658853873,-0.07331088301612183,0.19963327512060985,0.0,0.5,0.5,0.0
GSBC,2025-10-15,2025-10-17,60.57,PUT,0.08771718620129357,-0.08771718620129357,weak put naked,-0.366979924711192,0.0,775.0,370.0,405.0,-0.30788189807464067,-0.07580020937099545,0.17793933225816766,0.0,0.5,0.5,0.0
BANR,2025-10-15,2025-10-17,61.665,CALL,0.0876914889269945,0.0876914889269945,weak call naked,0.03482945855909625,0.0,1091.0,801.0,290.0,0.23006988471061604,-0.07474821851204731,0.19443681668317003,0.0,0.5,0.5,0.0
TFIN,2025-10-15,2025-10-17,47.23,CALL,0.08543565265467397,0.08543565265467397,weak call naked,0.10663804755488182,0.0,13832.0,1716.9999999999998,12115.0,0.3262089000695266,-0.09576684173597623,0.04368622399166003,0.0,0.5,0.5,0.0
CFG,2025-10-15,2025-10-17,50.25,CALL,0.07574456748410212,0.07574456748410212,weak call naked,-0.005010441139155608,0.0,25919.0,18196.0,7723.000000000001,0.176731296910033,-0.055554202144206095,0.19303182818482936,0.0,0.5,0.5,0.0
KMI,2025-10-15,2025-10-17,27.34,CALL,0.07485501494013956,0.07485501494013956,weak call naked,-0.00025889488563995977,0.0,46196.0,26758.0,19438.0,0.1830927779617234,-0.06162916034615383,0.1862305049406175,0.0,0.5,0.5,0.0
PNFP,2025-10-15,2025-10-17,88.59,CALL,0.06664241285072091,0.06664241285072091,weak call naked,-0.08890555336022299,0.0,61107.0,59193.0,1914.0,0.06441056209052431,0.03462800324760038,0.201862178180139,0.0,0.5,0.5,0.0
SYF,2025-10-15,2025-10-17,70.14,CALL,0.04837691614687026,0.04837691614687026,weak call naked,0.20475567275999684,0.0,523936.0,165118.0,358818.0,0.4575710673045352,-0.4489390549720766,0.1536506111200027,0.0,0.5,0.5,0.0
MKTX,2025-10-15,2025-10-17,172.9,CALL,0.04055249781640567,0.04055249781640567,weak call naked,-0.08664185733041507,0.0,24676.0,17360.0,7316.0,0.06744125118247098,-0.05638076639052248,0.19309951126311806,0.0,0.5,0.5,0.0
LVS,2025-10-15,2025-10-17,46.47,PUT,0.029424535680838127,-0.029424535680838127,weak put naked,0.13848356476057438,0.0,401492.0,68275.0,333217.0,0.36884442195577627,-0.5862026681097742,0.09267775757805687,0.0,0.5,0.5,0.0
BHB,2025-10-15,2025-10-17,29.18,CALL,0.006848626946353603,0.006848626946353603,weak call naked,-0.10748891831806473,0.0,1307.0,215.0,1092.0,0.03953071924599994,-0.07742251029267004,0.0882061092754513,0.0,0.5,0.5,0.0
